Mooring,Oudere noome,Adjektiiw / inbooger betiikning,oudere adjektiiwe,Tjüsch,Plååttjüsch,Dåånsch,Synnejysk,Üülje noome,Kwäl
e Houlme,e Hoolme,houlmer,"houleme, houlinge, houlminge, hoolmer",Ockholm,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen; Büten dik än banen dik, Nordfriisk Instituut, 1999"
Beergem,e Beerme,beerme,"beerginge, beergeme",Bargum,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen; Marie Tångeberg 2021, Sååge än Tääle"
Ååster Beergem,,,,Osterbargum,,,,,
Weester Beergem,,,,Westerbargum,,,,,
Äfkebel,Öfkebel,äfkebelinge,,Efkebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
e Horne,e Hoorne,horninge,"hoorlinge, hoorninge",Langenhorn,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
e Ååsterhorne,e Aasterhoorne,,,Ost-Langenhorn,,,,,
e Weesterhorne,e Weesterhorrne,,,West-Langenhorn,,,,,
Horninge Hii,Hoorninger Hii,,,Langenhorner Heide,,,,,
Mänkebel,"Mankebel, Mönkebel",mänkebelinge,mönkebelinge,Mönkebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Lehii,Lohii,lehiinge,,Loheide,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,Di Boul,,,Bohle,,,,,
Latjhoulem?,Läitjholem,,lätjhulminger,Lütjenholm,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Märebel (Mirebel?),Mörebel (Gooshiirdinge),märebelinge,,Mirebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Höögel,,hööglinge,höglinge,Högel,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Adebel,Aadebel,adebelinge,,Addebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Bötjebel,Bätjebel,bötjebelinge,,Büttjebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Iibel,,iiblinge,,Ebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Steerdebel,Stiardebel (Kårhiirder?),steerdebelinge,,Sterdebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Boorlem,,boorleme,,Bordelum,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Toorpem,,toorpeme,toorpinge,Dörpum,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Toorpemfälj,Toorpemfäil,,,Dörpumfeld,,,,,
Margarethenbärj,,,,Margarethenberg,,,,,
Ååster Boorlem,Aaster Boorlem,,,Ost-Bordelum,,,,,
Weester Boorlem,,,,West-Bordelum,,,,,
Stulbärj,Stolbeerch,,,Stollberg,,,,,
